,genderLabel,ageLabel,numEventsTotal
1298,1.0,30.9946236558,552.0
1304,0.0,43.2849462367,635.0
1308,1.0,52.2688172042,721.0
1312,1.0,51.8844086025,530.0
1319,0.0,56.9462365592,2101.0
1320,0.0,50.2284946233,522.0
1327,1.0,50.0215053767,569.0
1333,0.0,42.2526881717,751.0
1339,1.0,44.4086021508,2775.0
1343,0.0,54.9435483875,883.0
1347,1.0,37.9112903225,505.0
1357,0.0,59.4059139783,2940.0
1376,0.0,69.0161290325,1139.0
1378,0.0,55.4623655917,2882.0
1379,0.0,73.2607526883,711.0
1383,0.0,48.5403225808,649.0
1386,1.0,36.5215053767,1184.0
1390,0.0,39.2419354842,1059.0
1398,0.0,51.6586021508,683.0
1401,0.0,76.7096774192,1098.0
1402,1.0,31.0967741933,990.0
1431,1.0,62.3172043008,927.0
1463,0.0,45.9758064517,515.0
1464,0.0,37.5268817208,1657.0
1471,0.0,61.5053763442,1436.0
1477,0.0,56.2876344083,756.0
1482,1.0,48.36827957,1088.0
1484,1.0,30.2096774192,1613.0
1500,1.0,36.6424731183,715.0
1510,0.0,43.5698924733,957.0
1513,0.0,65.5752688175,972.0
1516,0.0,66.8172043008,699.0
1523,0.0,46.6478494625,1663.0
1524,1.0,44.5403225808,1263.0
1530,1.0,27.7204301075,569.0
1536,1.0,43.9112903225,972.0
1541,0.0,24.5161290325,1360.0
1546,0.0,54.3118279567,697.0
1553,0.0,41.2768817208,1073.0
1558,1.0,48.1559139783,828.0
1560,0.0,33.0833333333,1941.0
1577,0.0,63.2311827958,1101.0
1578,1.0,43.8709677417,589.0
1582,1.0,54.7016129033,843.0
1595,1.0,74.4112903225,505.0
1599,0.0,61.88172043,1007.0
1602,1.0,48.6935483875,1308.0
1606,0.0,54.1424731183,693.0
1611,0.0,46.809139785,578.0
1614,0.0,52.1801075267,1274.0
1634,0.0,65.0322580642,1842.0
1636,1.0,64.6693548383,595.0
1672,0.0,53.9032258067,681.0
1690,0.0,67.01344086,635.0
1704,1.0,42.9677419358,1277.0
1710,0.0,50.2392473117,636.0
1714,0.0,47.4489247308,749.0
1719,0.0,48.690860215,927.0
1722,0.0,41.2876344083,509.0
1741,1.0,43.690860215,824.0
1754,0.0,50.2419354842,728.0
1763,1.0,52.3145161292,1319.0
1766,0.0,52.7258064517,504.0
1767,0.0,62.204301075,523.0
1774,0.0,65.6129032258,560.0
1789,1.0,29.3279569892,624.0
1805,0.0,43.7392473117,1175.0
1816,1.0,38.8198924733,1035.0
1826,0.0,74.1263440858,922.0
1833,1.0,55.8978494625,1526.0
1837,0.0,41.4247311825,630.0
1848,1.0,57.5510752692,1871.0
1850,0.0,49.4220430108,1450.0
1852,0.0,56.3494623658,792.0
1853,1.0,55.0241935483,1859.0
1855,0.0,45.6155913975,958.0
1861,1.0,39.6962365592,566.0
1868,1.0,34.1854838708,1827.0
1884,0.0,37.413978495,2616.0
1886,0.0,54.940860215,560.0
1906,0.0,47.2258064517,566.0
1915,0.0,63.1075268817,1302.0
1922,1.0,35.4435483875,655.0
1924,0.0,33.3763440858,2555.0
1929,1.0,67.3655913975,517.0
1953,0.0,41.7419354842,578.0
1970,1.0,52.6854838708,3685.0
1972,0.0,36.6236559142,1242.0
1977,0.0,46.4596774192,879.0
1986,1.0,26.9731182792,1797.0
1999,0.0,72.6989247308,1223.0
2017,0.0,37.9381720433,835.0
2037,0.0,33.5994623658,1752.0
2042,0.0,28.8198924733,576.0
2056,0.0,52.85483871,597.0
2057,0.0,69.5779569892,1529.0
2067,0.0,44.6989247308,976.0
2077,1.0,32.7016129033,2264.0
2079,0.0,28.9704301075,713.0
2095,1.0,37.1505376342,779.0
2111,0.0,74.38172043,804.0
2116,0.0,38.0322580642,602.0
2128,1.0,32.9381720433,731.0
2132,0.0,69.1881720433,662.0
2135,0.0,32.190860215,631.0
