id,title,image-url,categories,tags
bxbql,Kort sagt 15. desember,https://ap.mnocdn.no/images/e924fca3-b79e-4cc2-bbc5-afae480e2908?fit=crop&q=80&w=480,"[meninger, debatt]",[]
bxd3B,FN: Hundrevis av sivile savnet under Aleppo-flukt,https://ap.mnocdn.no/images/af00808b-0bb4-4872-b63e-40e94606a394?fit=crop&q=80&w=480,[verden],"[russland, syria, krig, fn, konflikt]"
bxd75,Barnevernet fortalte ikke mor at hennes samboer var overgrepsdømt. Barneministeren fastslår at barnevernet har informasjonsplikt.,https://ap.mnocdn.no/images/cb4084a3-d97b-4e6e-baae-17be6d570315?fit=crop&q=80&w=480,[norge],"[solveig horne, incest, barn, barnevern]"
bxdGk,Bevisvurderingen i overgrepssaker er komplisert,https://ap.mnocdn.no/images/5bc0be03-a167-41ca-9ab7-d05a5dfa9ea6?fit=crop&q=80&w=480,"[meninger, debatt]","[overgrep, barn, kripos]"
bxe3B,Far nekter for vold mot ti uker gammel baby,https://ap.mnocdn.no/images/e15f1457-44c0-4a6d-8359-01d5d77e27ee?fit=crop&q=80&w=480,[norge],"[politiet, barn, vold]"
bxeVl,Tog med 20 passasjerer sporet av på Rørosbanen,http://ap.mnocdn.no/images/231fd07c-8080-49a9-9156-5c0ccaad59fe?fit=crop&q=80&w=480,[norge],"[sør-trøndelag, tog]"
bxegk,Donald Trumps Taiwan-samtale kan snu opp-ned på forholdet mellom verdens to mektigste land,https://ap.mnocdn.no/images/372f1ec7-eb2d-4544-a2d0-6270d7e700ab?fit=crop&q=80&w=480,"[nyhetsanalyse, meninger]","[beijing, donald trump, nupi, taiwan, kina, taipei, usa, politikk, dalai lama]"
bxgj5,Paulo Coehlo som spionforfatter funker ganske bra,https://ap.mnocdn.no/images/6df5715c-22df-4771-9a2f-f58ddbb4560a?fit=crop&q=80&w=480,[amagasinet],[krim-bloggen]
bxjWv,"Krigen i Syria fortsetter, mens vi ser Westworld og venter på neste brutale sesong av Game of Thrones | Benedicte April Jansen",http://ap.mnocdn.no/images/c3e0d480-225e-4edd-9be2-47431453d6e1?fit=crop&q=80&w=480,"[meninger, sid]","[drap, game of thrones, underholdning, voldtekt]"
bxjXB,Putins spill med oljesjeikene sikrer Norge oljemilliarder,https://ap.mnocdn.no/images/3ccfa42a-c9cf-442c-8839-65b63ae6a72f?fit=crop&q=80&w=480,[verden],"[saudi-arabia, opec, russland, teheran, iran, økonomi, hassan rouhani, oljeproduksjon, vladimir putin]"
bxjov,Et mer korrekt og nyansert bilde av barnevernsutdanningen | Alicja Olkowska,http://ap.mnocdn.no/images/82c3fdc3-45a4-47ce-b6d4-81666e5b2c75?fit=crop&q=80&w=480,"[meninger, debatt]","[barn, barnevern]"
bxlJ3,Dødstallet stiger etter fyrverkerieksplosjon i Mexico,https://ap.mnocdn.no/images/9fe7334a-e3bb-423b-a908-0ef8f24f94a1?fit=crop&q=80&w=480,[verden],[]
bxlbk,Rekordhøy kontantstøtte: mindre lønnsomt for lavtlønnede å jobbe,https://ap.mnocdn.no/images/73c9107b-61a0-4172-bc3e-a73ae295a808?fit=crop&q=80&w=480,"[norge, politikk]","[kontantstøtte, knut arild hareide, krf, politikk]"
bxo43,Restaurantanmeldelsen: Brukbar Ahaan-opplevelse,https://ap.mnocdn.no/images/9ad5c3f1-6a7c-44c8-ab3b-40bf8953b254?fit=crop&q=80&w=480,"[osloby, sulten]","[restaurant, restaurantanmeldelse, mat og næringsmidler]"
