	genderLabel	ageLabel	numEventsTotal
194	0.0	54.3118279567	697.0
195	0.0	41.2768817208	1073.0
196	1.0	48.1559139783	828.0
197	0.0	33.0833333333	1941.0
198	0.0	63.2311827958	1101.0
199	1.0	43.8709677417	589.0
200	1.0	54.7016129033	843.0
201	1.0	74.4112903225	505.0
202	0.0	61.88172043	1007.0
203	1.0	48.6935483875	1308.0
204	0.0	54.1424731183	693.0
205	0.0	46.809139785	578.0
206	0.0	52.1801075267	1274.0
207	0.0	65.0322580642	1842.0
208	1.0	64.6693548383	595.0
209	0.0	53.9032258067	681.0
210	0.0	67.01344086	635.0
211	1.0	42.9677419358	1277.0
212	0.0	50.2392473117	636.0
213	0.0	47.4489247308	749.0
214	0.0	48.690860215	927.0
215	0.0	41.2876344083	509.0
216	1.0	43.690860215	824.0
217	0.0	50.2419354842	728.0
218	1.0	52.3145161292	1319.0
219	0.0	52.7258064517	504.0
220	0.0	62.204301075	523.0
221	0.0	65.6129032258	560.0
222	1.0	29.3279569892	624.0
223	0.0	43.7392473117	1175.0
224	1.0	38.8198924733	1035.0
225	0.0	74.1263440858	922.0
226	1.0	55.8978494625	1526.0
227	0.0	41.4247311825	630.0
228	1.0	57.5510752692	1871.0
229	0.0	49.4220430108	1450.0
230	0.0	56.3494623658	792.0
231	1.0	55.0241935483	1859.0
232	0.0	45.6155913975	958.0
233	1.0	39.6962365592	566.0
234	1.0	34.1854838708	1827.0
235	0.0	37.413978495	2616.0
236	0.0	54.940860215	560.0
237	0.0	47.2258064517	566.0
238	0.0	63.1075268817	1302.0
239	1.0	35.4435483875	655.0
240	0.0	33.3763440858	2555.0
241	1.0	67.3655913975	517.0
242	0.0	41.7419354842	578.0
243	1.0	52.6854838708	3685.0
244	0.0	36.6236559142	1242.0
245	0.0	46.4596774192	879.0
246	1.0	26.9731182792	1797.0
247	0.0	72.6989247308	1223.0
248	0.0	37.9381720433	835.0
249	0.0	33.5994623658	1752.0
250	0.0	28.8198924733	576.0
251	0.0	52.85483871	597.0
252	0.0	69.5779569892	1529.0
253	0.0	44.6989247308	976.0
254	1.0	32.7016129033	2264.0
255	0.0	28.9704301075	713.0
256	1.0	37.1505376342	779.0
257	0.0	74.38172043	804.0
258	0.0	38.0322580642	602.0
259	1.0	32.9381720433	731.0
260	0.0	69.1881720433	662.0
261	0.0	32.190860215	631.0
262	1.0	48.8709677417	1314.0
263	0.0	25.1129032258	732.0
264	0.0	47.204301075	862.0
265	0.0	68.7607526883	934.0
266	0.0	59.204301075	1600.0
267	0.0	41.7768817208	1983.0
268	0.0	59.9301075267	887.0
269	1.0	31.1129032258	3796.0
270	1.0	61.5967741933	696.0
271	1.0	77.8763440858	819.0
272	1.0	58.4596774192	544.0
273	0.0	54.7150537633	515.0
274	1.0	58.2392473117	1805.0
275	0.0	52.5752688175	3160.0
276	0.0	55.1263440858	854.0
277	0.0	44.5161290325	774.0
278	0.0	48.4892473117	596.0
279	0.0	67.7553763442	1054.0
280	1.0	26.177419355	649.0
281	0.0	25.9811827958	661.0
282	0.0	65.9569892475	1435.0
283	1.0	40.2903225808	704.0
284	0.0	54.295698925	719.0
285	0.0	48.0188172042	518.0
286	0.0	70.0	629.0
287	0.0	59.5026881717	708.0
288	1.0	73.9704301075	1961.0
289	0.0	49.3010752692	809.0
290	0.0	41.48655914	620.0
291	0.0	67.454301075	547.0
292	1.0	28.7392473117	760.0
293	0.0	40.0672043008	2380.0
294	0.0	65.11827957	1299.0
295	1.0	47.60483871	865.0
296	0.0	49.5268817208	888.0
297	0.0	63.677419355	756.0
298	0.0	51.7069892475	781.0
299	0.0	53.1155913975	793.0
300	1.0	45.1935483875	670.0
301	0.0	46.3736559142	658.0
302	1.0	47.4462365592	543.0
303	0.0	42.8521505375	1047.0
304	1.0	40.7580645158	929.0
305	0.0	74.1612903225	1493.0
306	0.0	53.704301075	992.0
307	1.0	29.427419355	883.0
308	0.0	55.1854838708	1124.0
309	1.0	42.51344086	1495.0
310	0.0	55.0376344083	616.0
311	0.0	57.9327956992	1439.0
312	0.0	28.2983870967	540.0
313	1.0	55.1155913975	1413.0
314	1.0	27.7607526883	1034.0
315	0.0	54.0537634408	2167.0
316	1.0	55.5188172042	649.0
317	1.0	52.1397849458	564.0
318	0.0	67.3306451617	1626.0
319	1.0	32.8279569892	1106.0
320	1.0	55.14516129	604.0
321	1.0	33.2580645158	2817.0
322	0.0	40.9919354842	2424.0
323	0.0	41.2016129033	1051.0
324	0.0	70.7338709675	1230.0
325	0.0	68.1155913975	2542.0
326	0.0	44.6666666667	843.0
327	0.0	48.3064516125	1122.0
328	0.0	47.64516129	1627.0
329	0.0	55.295698925	1385.0
330	1.0	27.0376344083	1436.0
331	0.0	41.2688172042	1277.0
332	0.0	47.9059139783	1054.0
333	0.0	45.25	909.0
334	0.0	43.940860215	515.0
335	0.0	44.2204301075	784.0
336	1.0	43.5295698925	597.0
337	0.0	30.1962365592	547.0
338	0.0	48.5349462367	588.0
339	0.0	38.1801075267	709.0
340	1.0	65.9784946233	2693.0
341	0.0	31.3494623658	783.0
342	1.0	57.6424731183	803.0
343	1.0	29.4435483875	506.0
344	1.0	40.7204301075	769.0
345	0.0	40.3575268817	751.0
346	1.0	26.7473118283	561.0
